Youtuber,Title,Published_date,Views,Likes,Comments
mkbhd,ROG Phone 6 Pro Review: Daily Driver Material!,2022-07-05T12:30:45Z,2663411,109192,4662
mkbhd,Reviewing MKBHD Videos!,2022-07-02T16:47:14Z,2104827,107291,3764
mkbhd,M2 MacBook Pro: Why Does This Exist?,2022-06-29T21:48:30Z,2768597,104287,4778
mkbhd,Ford F150 Lightning is the iPhone of Pickup Trucks!,2022-06-24T19:33:48Z,3169173,118633,6342
mkbhd,The Nothing Phone LOOKS Different,2022-06-21T13:15:27Z,8278976,310776,14506
mkbhd,This Was Ahead of its Time!,2022-06-11T16:25:12Z,4880322,173292,6113
mkbhd,M2 MacBook Air Impressions: Midnight Madness!,2022-06-08T20:58:06Z,5503241,154381,6926
mkbhd,WWDC 2022 Impressions: M2 Macs and iOS 16?!,2022-06-07T06:37:43Z,4859930,290697,7274
mkbhd,The Future of Smartphone Cameras? Sony Xperia 1 IV!,2022-05-24T00:17:02Z,2723762,104576,4155
mkbhd,DALLE: AI Made This Thumbnail!,2022-05-16T22:48:57Z,2683395,143202,6201
mkbhd,"Sony WH-1000XM5 Review: Two Steps Forward, One Step Back!",2022-05-12T16:01:05Z,4704582,163228,7038
mkbhd,"Pixel Watch, Pixel 7 and Google's Hardware Reveal 2022!",2022-05-11T18:55:06Z,2699241,104734,6039
mkbhd,What Happens When the iPhone Peaks?,2022-04-30T02:36:09Z,4241567,158146,10275
mkbhd,David Blaine Teaches Me Magic!,2022-04-25T15:53:00Z,1252551,63097,1896
mkbhd,Ford's Coolest Electric Truck is from 1978!,2022-04-18T21:55:51Z,1615739,96764,4301
mkbhd,I Gave the Pixel Another Chance...,2022-04-14T02:04:12Z,2992356,114460,6698
mkbhd,The SteamDeck is Incomplete But Fun!,2022-04-11T22:27:22Z,2546249,97132,5228
mkbhd,YouTube Needs to Fix This,2022-04-02T00:26:01Z,3026342,194575,14903
mkbhd,The Electric Car Pre-Order Problem,2022-03-30T21:12:29Z,2452875,115270,6907
mkbhd,Does Fast Charging ACTUALLY Ruin Your Battery?,2022-03-25T22:08:26Z,6320761,290566,12698
mkbhd,"""The Apple Studio Display is a Bad Deal""",2022-03-22T21:38:26Z,4669669,148906,9859
mkbhd,Mac Studio Review: Double Trouble!,2022-03-18T21:35:13Z,3884233,135145,4829
mkbhd,iPad Air M1 Review: Don't Choose Wrong!,2022-03-16T13:01:10Z,5695672,163793,5098
mkbhd,iPhone SE (2022) Review: Old Dog. New Trick.,2022-03-14T13:00:48Z,3764485,137499,9855
mkbhd,The Green iPhone 13 in 59 seconds!,2022-03-11T14:00:25Z,4442274,233280,2544
mkbhd,NEW Mac Studio & Apple Event Reactions!,2022-03-09T01:49:23Z,3117117,134855,7230
mkbhd,Dope Tech: Weirdest Earbuds I've Ever Tried!,2022-03-02T21:33:32Z,2735959,124052,3817
mkbhd,Galaxy Tab S8 Ultra: A Monster Tablet!,2022-02-25T21:44:33Z,6063265,168506,7212
mkbhd,Galaxy S22 Ultra Review: Separating from the Pack!,2022-02-22T23:57:42Z,5616443,155634,6934
mkbhd,Galaxy S22 Review: The iPhone of Android!,2022-02-18T21:11:22Z,7267052,214915,13640
mkbhd,On New Cybertruck Updates from Drone Footage...,2022-02-17T00:05:43Z,2194554,93893,2863
mkbhd,Galaxy S22 Ultra Impressions: It's a Note!,2022-02-09T15:01:16Z,3387158,137688,6625
mkbhd,Galaxy S22 Impressions: 1 Real Downgrade!,2022-02-09T15:01:03Z,2631633,99231,4680
mkbhd,An Announcement!,2022-02-01T19:57:57Z,2732277,134737,4320
mkbhd,OnePlus 10 Pro Impressions: What Happened?,2022-01-28T03:09:41Z,4141378,118144,9000
mkbhd,Blue Bubbles vs Green Bubbles: Explained!,2022-01-24T22:32:41Z,5318426,226727,23030
mkbhd,When Tech Companies Lie to Us...,2022-01-13T21:11:21Z,4227412,182043,8733
mkbhd,My Everyday Tech: 2022!,2022-01-07T23:42:52Z,5002215,147089,4979
mkbhd,2022 Tech I'm Ready For!,2022-01-05T20:55:27Z,2951672,112445,4971
mkbhd,"Galaxy S21 FE Impressions: Great Phone, Odd Price!",2022-01-04T02:00:50Z,3410839,116365,6148
mkbhd,Rewind: Best Gadgets of 2021!,2021-12-29T14:22:10Z,2952433,93335,3394
mkbhd,Tech Rewind 2021!,2021-12-26T14:24:17Z,1907133,87570,2872
mkbhd,Smartphone Awards 2021!,2021-12-22T23:00:05Z,5388668,213271,13890
mkbhd,20 Questions with MrBeast!,2021-12-20T22:46:35Z,4203366,239685,6289
mkbhd,The Blind Smartphone Camera Test 2021!,2021-12-17T20:10:08Z,2249069,114172,5315
mkbhd,Oppo Find N Impressions: The Best Folding Phone?!,2021-12-15T12:18:22Z,3333977,100520,5254
mkbhd,Smartphone Cameras vs Reality!,2021-12-09T01:04:19Z,2706567,131894,5665
mkbhd,This Smartphone is Built Different...,2021-12-06T18:26:25Z,2994231,145038,7869
mkbhd,"Why Does This $10,000 Gucci Xbox Exist?",2021-12-02T00:40:32Z,2159622,107143,5306
mkbhd,What is a Google Phone?! Reviewing Every Pixel/Nexus Ever!,2021-11-24T02:13:06Z,3724270,114296,7729
mkbhd,Apple vs Right to Repair: Part 2!,2021-11-17T21:42:55Z,1764901,89645,3865
mkbhd,Dear YouTube!,2021-11-11T21:51:00Z,3730361,511726,37008
mkbhd,The Best Camera in Any Phone... With a Catch!,2021-11-10T03:05:05Z,2903489,108972,7004
mkbhd,M1 Max MacBook Pro Review: Truly Next Level!,2021-11-05T02:34:19Z,7740775,222167,12046
mkbhd,AirPods 3 Review: Easy Mode!,2021-11-02T17:39:29Z,4370938,144660,5563
mkbhd,Pixel 6/6 Pro Review: Almost Incredible!,2021-10-27T22:17:45Z,7734993,240439,15120
mkbhd,The Rivian R1T is an Incredibly Fun Electric Pickup!,2021-10-22T15:41:48Z,5187202,131399,9645
mkbhd,Surface Duo 2: Can This Be Saved?,2021-10-21T13:01:47Z,2441704,81299,8133
mkbhd,Pixel 6/6 Pro Unboxing & First Look!,2021-10-19T17:00:47Z,4529806,187731,10367
mkbhd,NEW M1 Max MacBook Pro Reaction: The Ports are Back!,2021-10-18T23:54:43Z,5425173,200230,13794
mkbhd,Apple Watch Series 7 Review: Spot the Differences!,2021-10-13T13:00:45Z,4894939,132116,5550
mkbhd,Reviewing EVERY iPhone Ever!,2021-10-12T03:21:54Z,14007158,388805,20258
mkbhd,Surface Laptop Studio Impressions: Windows 11 With a Twist!,2021-10-05T23:31:38Z,3525626,104381,3966
mkbhd,iPhone 13 Pro Review: Better Than You Think!,2021-10-02T00:40:12Z,9258863,230385,12520
mkbhd,RED V-RAPTOR Impressions: 8K 120fps!,2021-09-29T23:01:14Z,2242574,91808,4238
mkbhd,iPhone 13 Review: Lowkey Great!,2021-09-28T00:44:53Z,8076918,220511,10679
mkbhd,iPad Mini 2021 Review: Pocketable Power!,2021-09-22T13:00:51Z,5670884,165181,8791
mkbhd,iPhone 13 Unboxing & Impressions!,2021-09-21T13:01:01Z,8719205,274991,16438
mkbhd,3 Features the iPhone 13 Didn't Add!,2021-09-17T20:04:33Z,3307642,123729,8465
mkbhd,iPhone 13 Event Reaction: Everything New!,2021-09-15T01:17:57Z,8099365,253177,17591
mkbhd,Real Thoughts on Tech Leaks!,2021-09-13T18:42:40Z,2293109,99374,4931
mkbhd,Driving 1000 Miles in 3 Cars: Gas vs Electric!,2021-09-09T14:00:03Z,3695727,145958,12765
mkbhd,Samsung Z Flip 3 Review: The First Big Step!,2021-08-26T23:07:22Z,4952591,135048,7720
mkbhd,The Tesla Bot: Explained!,2021-08-23T23:06:19Z,5077411,205918,25681
mkbhd,Samsung Z Fold 3 Review: Let's Talk Ambition!,2021-08-20T15:32:14Z,4827842,125341,6817
mkbhd,Google Pixel 5A: Spot the Difference!,2021-08-17T16:00:54Z,3243710,109488,5272
mkbhd,Samsung Galaxy Z Flip 3 Impressions: Design Refresh!,2021-08-11T14:01:19Z,6534977,174810,7393
mkbhd,Samsung Galaxy Z Fold 3 Impressions: 3 New Features!,2021-08-11T14:00:57Z,3214936,110803,6889
mkbhd,Pixel 6's Tensor Chip: Let's Talk!,2021-08-02T16:00:37Z,3897807,169256,7835
mkbhd,The Electric Hummer: Hands-On & Impressions!,2021-07-30T23:59:10Z,2647820,111945,7150
mkbhd,Nothing Ear(1) Review: Transparent Buds!,2021-07-29T13:00:28Z,3890493,156525,6978
mkbhd,The iPhone 13 Models!,2021-07-27T01:03:50Z,4326525,143303,9570
mkbhd,Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,2021-07-23T00:55:10Z,12124912,296566,18770
mkbhd,How Do YouTubers Make Money? (And Other Questions We Have to Answer),2021-07-16T15:37:54Z,2707056,139877,6525
mkbhd,iPadOS 15 Review: Dropped Expectations!,2021-07-07T22:09:15Z,2923032,102201,5248
mkbhd,iOS 15 Hands-On: Top 5 New Features!,2021-07-02T16:16:24Z,8362962,244866,8783
mkbhd,Sony Xperia 1 III: The Ultimate Enthusiast Phone!,2021-07-01T14:00:56Z,3201156,124288,10789
mkbhd,Why Everything is an Ultrabook!,2021-06-30T17:01:49Z,2548040,84792,4932
mkbhd,Windows 11 Reactions: It Runs Android Apps! (Kinda),2021-06-24T21:24:26Z,5394495,234053,15666
mkbhd,Forgot About Beats by Dre?,2021-06-17T22:32:44Z,6056092,188019,8575
mkbhd,Top 5 Android 12 Features: Huge Redesign!,2021-06-13T13:02:42Z,3853826,166332,10604
