Youtuber,Title,Published_date,Views,Likes,Comments
randomfrankp,Room Tour Project 248  - Best Gaming Setups!,2021-06-20,180185,7243,260
randomfrankp,Building My $872 Conone65 Custom Keyboard Build!,2021-06-19,122427,5825,567
randomfrankp,"Building a minimal ITX Monster! (RTX 3080 Ti, Ryzen 7 PC Build)",2021-06-14,146339,4757,430
randomfrankp,"Best 4K TV for PS5, Xbox Series X & PC Gaming! LG C1 77 OLED Review",2021-06-12,198460,4944,501
randomfrankp,Room Tour Project 247  - Best Gaming Setups!,2021-06-06,152054,7139,421
randomfrankp,Cool Tech Under $50 - June!,2021-06-05,571119,23830,1586
randomfrankp,My New MAIN? SteelSeries Prime Wireless Mouse Review!,2021-05-28,238823,7916,747
randomfrankp,Razer Goes 65%!  BlackWidow V3 Mini HyperSpeed Keyboard Review!,2021-05-25,386553,11351,1209
randomfrankp,Stream Deck + GoXLR?! AVerMedia Nexus Review!,2021-05-21,104479,3574,265
randomfrankp,Room Tour Project 246  - CHILL Desk & Gaming Setups!,2021-05-16,170828,7989,323
randomfrankp,My Favorite (& Crazy) Tech of the Month - May!,2021-05-15,434713,18952,830
randomfrankp,Endgame Ep.2 - Keyboard Mods & Accessories!,2021-05-14,132640,5897,238
randomfrankp,Room Tour Project 245 - SICK Desk & Gaming Setups!,2021-05-02,184515,7807,555
randomfrankp,Cool Tech Under $50 - May!,2021-05-01,912446,43543,5498
randomfrankp,My New Tiny PC is ACTUALLY A BEAST!,2021-04-30,113520,5133,422
randomfrankp,Room Tour Project 244  - DOPE Desk & Gaming Setups!,2021-04-25,224463,8415,354
randomfrankp,What Do I Do with ALL the Tech When I'm Done Reviewing it?,2021-04-24,105458,6385,868
randomfrankp,How to Build a Gaming PC in 2021 - Easy 10-minute Build Guide!,2021-04-17,1075013,32158,1512
randomfrankp,Room Tour Project 243  - BEST Desk & Gaming Setups!,2021-04-04,223391,9165,418
randomfrankp,Cool Tech Under $50 - April!,2021-04-03,804835,39131,2938
randomfrankp,My Suuuuuuper Clean GMMK Pro Build!,2021-04-02,671824,18415,1088
randomfrankp,Lol so....I went back to the G502 again...,2021-03-27,413399,14819,1463
randomfrankp,MASSIVE Unboxing of EVERY GMMK Pro Accessory!,2021-03-24,661620,21871,1240
randomfrankp,GMMK Pro Review! Best Custom Keyboard for the Price?,2021-03-23,721262,20378,1589
randomfrankp,Room Tour Project 242 - Clean & Minimal Desk Setups!,2021-03-21,148207,7768,365
randomfrankp,The ASUS ROG Falchion 65% Keyboard is CRAZY,2021-03-20,481686,14265,928
randomfrankp,"Corsair, What Are You Doing? K65 Mini RGB Keyboard Review",2021-03-16,471500,14163,1097
randomfrankp,5 Gaming AMP & DACs to Instantly Improve Your Audio!,2021-03-13,300685,8623,860
randomfrankp,Room Tour Project 241  - BEST Desk & Gaming Setups!,2021-03-07,184671,7784,556
randomfrankp,Cool Tech Under $50 - March!,2021-03-06,591527,29451,3910
randomfrankp,My Favorite Keyboard Build Yet! Iced RAMA Kara,2021-03-05,160949,6640,594
randomfrankp,10 Cool PC Tech Gadgets Under $50!,2021-02-27,396909,15408,492
randomfrankp,My Favorite (& Crazy) Tech of the Month!,2021-02-26,301688,13171,666
randomfrankp,NEW HyperX Alloy Origins 60 Keyboard Review!,2021-02-22,649247,18332,1135
randomfrankp,Room Tour Project 240 - Clean & Minimal Setups!,2021-02-21,160859,6354,307
randomfrankp,Room Tour Project 239 - Budget Setup Edition!,2021-02-14,213369,8705,388
randomfrankp,EVGA Z20 Keyboard is coming for Corsair & Razer's throats!,2021-02-13,203162,6408,684
randomfrankp,My Minimal Home Office Desk Setup!,2021-02-08,174426,9221,964
randomfrankp,Cool Tech Under $50 - February!,2021-02-06,745912,35018,5226
randomfrankp,My 2021 ULTIMATE Gaming Setup & YouTube Studio Tour!,2021-02-05,1625619,36816,1531
randomfrankp,Room Tour Project 238  - BEST Desk & Gaming Setups!,2021-01-31,740936,18790,640
randomfrankp,Switch it Up: Custom Keyboards #6,2021-01-30,227342,9333,503
randomfrankp,Room Tour Project 237 - Clean & Minimal Setups!,2021-01-24,279084,10677,489
randomfrankp,Soooo my monitor literally melted...,2021-01-23,230539,13702,887
randomfrankp,Room Tour Project 236  - BEST Desk & Gaming Setups!,2021-01-17,242180,9183,732
randomfrankp,Cool Tech Under $50 - January!,2021-01-09,846108,36697,4562
randomfrankp,Reviewing the PewDiePie x Ghost A1 Keyboard!,2021-01-08,767313,24503,1627
randomfrankp,BEST Setups of 2020!!! Room Tour Project 235,2021-01-03,528420,12417,463
randomfrankp,Top 5 Gaming Mouse Pads for 2021!,2021-01-01,984714,21901,1220
randomfrankp,Room Tour Project 234  - BEST Desk & Gaming Setups!,2020-12-27,1408423,36080,1265
randomfrankp,AirPods Max vs 3 Headphones You Should Buy Instead,2020-12-20,175310,7511,879
randomfrankp,I've got a something for YOU & PC upgrades for ME!,2020-12-19,196971,9101,1097
randomfrankp,Razer Sent Me a GIANT GAMING PACKAGE!,2020-12-18,2116650,58452,2071
randomfrankp,Room Tour Project 233 - Clean & Minimal Setups!,2020-12-13,214759,10217,793
randomfrankp,Top 5 Gaming / Streaming Microphones of 2020!,2020-12-12,1095016,26616,1228
randomfrankp,10 Cool Tech Under $50 from 2020 - Holiday Edition!,2020-12-11,1202304,39947,1316
randomfrankp,Cool Tech Under $25 - December!,2020-12-06,729505,26854,1126
randomfrankp,Cool Tech Under $50 - December!,2020-12-05,1598036,78078,10052
randomfrankp,Room Tour Project 232  - BEST Desk & Gaming Setups!,2020-11-29,597867,16476,851
randomfrankp,Top 5 Gaming Headsets of 2020!,2020-11-25,1676376,37230,2270
randomfrankp,The New Razer Holiday Bundle is ACTUALLY INSANE!,2020-11-23,1473349,40506,1608
randomfrankp,Room Tour Project 231  - BEST Desk & Gaming Setups!,2020-11-22,235634,8022,493
randomfrankp,Top 5 Gaming Mice of 2020!,2020-11-21,1722106,47249,2808
randomfrankp,Top 5 Gaming Keyboards of 2020!,2020-11-20,1915862,43789,2193
randomfrankp,NEW Logitech G Pro X Superlight Mouse Review!,2020-11-18,857586,20178,1933
randomfrankp,"Glorious Elements Pads First Impressions After 1 Week - Air, Fire & Ice",2020-11-15,497275,14609,954
randomfrankp,Glorious Model O Wireless Mouse Review - THEY DID IT!,2020-11-13,828610,24563,1806
randomfrankp,So you want a luxurious keyboard for FREE??,2020-11-12,266627,14679,1613
randomfrankp,Small but GOES HARD! 😉 Fnatic Streak65 Review!,2020-11-10,167693,6112,552
randomfrankp,Room Tour Project 230 - Clean & Minimal Setups!,2020-11-08,468426,13835,618
randomfrankp,Cool Tech Under $50 - November!,2020-11-07,625542,25937,1520
randomfrankp,IT'S HERE! Everest MAX Keyboard Review,2020-11-06,309756,11622,870
randomfrankp,Room Tour Project 229  - BEST Desk & Gaming Setups!,2020-11-01,210407,8233,618
randomfrankp,Building a Cyberpunk Keyboard - KBD D65 Build!,2020-10-31,244422,7739,577
randomfrankp,NEW SteelSeries Aerox 3 Wireless Mouse is LEGIT!,2020-10-28,441701,11500,983
randomfrankp,WE'RE LAUNCHING A CUSTOM MECHANICAL KEYBOARD!,2020-10-23,250062,11006,1533
randomfrankp,YES!!! New HyperX Cloud II Wireless Headset Review!,2020-10-20,631656,15841,1494
randomfrankp,Room Tour Project 228 - BEST Gaming Setups!,2020-10-18,197921,8136,632
randomfrankp,FEEL Explosions...Corsair HS60 Haptic Headset Review!,2020-10-17,158091,5387,519
randomfrankp,Building a $850 Fjell Custom Keyboard!,2020-10-12,405625,13789,1398
randomfrankp,Room Tour Project 227 - Clean & Minimal Setups!,2020-10-11,196310,7459,329
randomfrankp,Cool Tech Under $100 - October!,2020-10-10,1346277,43617,972
randomfrankp,"Woah, the Pwnage Ultra Custom is AWESOME!",2020-10-09,332210,5738,555
randomfrankp,NEW Corsair K100 RGB Optical Keyboard Review + OPX switches!,2020-10-02,483755,12748,1553
randomfrankp,Room Tour Project 226 - BEST Gaming Setups!,2020-09-27,248953,8886,575
randomfrankp,My Minimal BLACKOUT EDC [Every Day Carry],2020-09-26,182121,7019,403
randomfrankp,The Wireless Razer BlackWidow V3 Pro Keyboard Review!,2020-09-25,518587,11136,1153
randomfrankp,Room Tour Project 225 - BEST Gaming Setups!,2020-09-13,338228,11218,672
randomfrankp,Me Trashing a Product for 7 Minutes. PowerSpot Wireless 💩,2020-09-12,132491,7972,486
randomfrankp,Razer Made Gaming Gum....lol,2020-09-11,216334,12359,1551
randomfrankp,Room Tour Project 224 - Best Desk Setups!,2020-09-06,229037,9174,465
randomfrankp,Cool Tech Under $50 - September!,2020-09-05,714389,29241,1246
randomfrankp,Room Tour Project 223 - Clean & Minimal Setups!,2020-08-30,253681,10861,520
randomfrankp,I Finally Have My Dream Water-Cooled Gaming PC!,2020-08-29,181041,8366,1620
randomfrankp,Finally COLORFUL Gaming Peripherals!,2020-08-25,335103,13681,1090
randomfrankp,Room Tour Project 222 - BEST Gaming Setups!,2020-08-23,278569,9718,513
randomfrankp,5 Tips to Mod & Improve Your Razer Huntsman Mini Keyboard,2020-08-22,679218,19171,1315
randomfrankp,OH BABY IT'S FINALLY HERE!,2020-08-21,254457,12959,1394
randomfrankp,Checking out the Razer Pro Click Mouse & Pro Type Keyboard!,2020-08-20,448098,13331,1288
randomfrankp,Endgame Ep.1 - Gaming Mouse Mods & Accessories!,2020-08-16,365868,15873,992
randomfrankp,Awesome Back to School / Online Class Tech Under $100!,2020-08-15,739616,31017,1311
randomfrankp,Room Tour Project 221 - BEST Gaming Setups!,2020-08-09,238168,8181,507
randomfrankp,Cool Tech Under $50 - August!,2020-08-08,505087,23251,4276
randomfrankp,BEST Value Headset?! Razer Blackshark V2 & V2 X Review!,2020-07-30,1304015,31112,2749
randomfrankp,Unboxing Random Tech & Keebs Haul - July! #8,2020-07-27,187537,9784,685
randomfrankp,Room Tour Project 220 - Clean & Minimal Setups!,2020-07-26,210724,7915,606
randomfrankp,They're killin' it! HyperX Alloy Elite 2 Keyboard Review,2020-07-25,446964,12195,928
randomfrankp,Room Tour Project 219 - BEST Gaming Setups!,2020-07-19,272889,9026,544
randomfrankp,The PERFECT Custom Keyboard Build for Beginners! NK65 Entry!,2020-07-18,979843,27366,1664
randomfrankp,THEY DID IT! Razer Huntsman Mini 60% Keyboard Review!,2020-07-14,1398802,36874,3358
randomfrankp,"CRAZIEST Gaming Monitor Yet! Samsung Odyssey G9 49"" Monitor Review",2020-07-11,657978,14970,1574
randomfrankp,Room Tour Project 218 - Clean & Minimal Setups!,2020-07-05,368604,11836,491
randomfrankp,Cool Tech Under $50 - July!,2020-07-04,1400342,58106,8377
randomfrankp,Durgod Fusion Keyboard - Retro Vibez,2020-07-03,116110,3883,329
